■都内に居住の高齢者に対して【6分37秒】	実録

	
V	はい、もしもし
C	もしもし、○○さんご本人様ですか
V	そうです
C	すいません、私にびっくりしないでくださいね
V	はい
C	目黒警察防犯課のアズマって者なんだけど
V	はい
C	ごめんなさいね
V	はい
C	あのご本人様で宜しかったかな。ご家庭の方ご本人様
V	はい
C	あのね、今、オレオレ詐欺とか振り込め詐欺とかで架空の投資話って悪質な電話が増えているの。うちの方にもいろいろね相談の電話が来るの。だから今一度、そういった電話には注意するように気をつけてください。でねあの本部、警視庁の方からなるべく一世帯に複数人、要するに1人より2人、2人より3人に伝えるようにと厳しく指導されているのでちょっとご足労でわるいんだけど今代われる方っていらっしゃるかな
V	いえ、いません
C	いらっしゃらない
V	はい
C	そう。なるべくならね、お若い方に伝えたいことがあったんだけども
V	はい
C	あのね、○○さんの住所やお名前？そういった個人情報が外部に漏れちゃってるので今
V	はい
C	何かこころあたりないかな
V	いえ、今のところないです
C	公共料金の明細書とかさ色々捨てるじゃないああいうの来たのってそのままポイって捨てちゃったりしてない
V	いや
C	そういうことしているとごみ箱あさられてね、個人情報ってもれちゃうのよ
V	はい
C	気をつけてもらいたいんだけどね
V	はい
C	あの先週の15日の火曜日にあの我々がさ振り込め詐欺グループ17人逮捕したってニュースで流れたと思うんだけどね。我々っていうか私ではないんだけど本部の方がね。ニュース見たでしょ見てないニュースは
V	ちょっと
C	江戸川区で逮捕したね。江戸川区で
V	そうですね
C	逮捕したのは良かったんだけど、何人かの持ち物の中から23区内を中心とした名簿が出てきちゃったね。目黒区だけでも800人くらいの名簿が出てきちゃったの
V	はい。その中に○○さんの名前が載ってたのよ。だからね、以前、オレオレ詐欺などの被害にあわれてしまったんじゃないかと思ってね、心配で電話したんだけども。それは大丈夫
C	大丈夫だと思います
V	大丈夫
C	大丈夫。あとね、これ最後になるんだけど、その17人逮捕されているんだけど20代～40代なんだけどオレオレ詐欺や振込め詐欺以外にもキャッシュカードの偽造、そういった犯行も行っていたのね
V	はい
C	専門用語で言うとフクインちょっと耳慣れない言葉で悪いとは思うんだけども、でね、今回、キャッシュカードの偽造の手口を聞きたいということなんでね、なおかつ名簿にね○○さんの名前も載っていたので、○○さんのキャッシュカードが偽造されてしまっている恐れが少なからずあるんだけれども、キャッシュカードとかは作っていないかな
V	え、大丈夫です
C	つくってるの
V	はい
C	あの調べてもらった方がいいと思うよ
V	はい
C	銀行さんなどいかれてね、あのね、800人中の既にねもう50人、月のからあわせて50人もね、まあ金額っていうのはそれぞれ違うんだけどね
V	はい
C	うん方々がいらっしゃったの。50人いかないくらいだったんだけど、48人くらいだったんだけど。
V	はい。
C	うん、こうしている間にもいなくなってしまう可能性もあるんでね、十分気をつけていただきたいんですが
V	はい
C	うん、あのこれ調べるのがね、お近くの金融機関さんでも十分大丈夫なんだけれども、万が一、きらされていた場合、1円でもね、きらされていた場合、その1円でも国が補償してくれる預金下保護法って法律があるのね
V	はい
C	それをその法律の手続きが行えるのが金融庁っていうところなのね
V	はい
C	東京の霞が関があるでしょ、千代田区の方に。で今回、金融庁と合同で捜査で捜査してて
V	はい
C	うん、金融庁さんから電話がいくようになってるのね
V	わかりました
C	うん、大丈夫
V	はい
C	うん、何かあの一応いかってな思ってね、思っていただきたいんでね
V	はい
C	うん、気をつけてください
V	わかりました
C	うん、それじゃ電話きるんでね。はい、どうも失礼します
V	ありがとうございます
	
	中断
	
C	もしもし
V	はい
C	お忙しいところ恐れ入ります。私、金融庁個人口座保護センターのサクライと申します
V	はい
C	こちら○○さまとお呼びして宜しいでしょうか
V	はい。そうです
C	○○さんで、先程ですね、目黒警察防犯課のですねアズマ刑事という方から連絡が入りまして○○さまのご口座のほうお調べするようにと言われましてちょっとその点に間違いは無かったでしょうか
V	大丈夫だと思います
C	今回犯罪行為というのがカードの偽造ということでえ、まぁあの通達されていますので、一応、私共のパソコンの方であのお調べすることできますので
V	はい
C	はい、今、どちらの金融機関をお使いになさっています
V	はい。えっと千葉信用金庫です
C	千葉信用金庫さんですね。そちら今、お手元にカードと通帳ってございますか
V	はい。えっとあります
C	お手元にご用意していただけますか
V	もしもし
C	通帳とキャッシュカードからすべてお調べすることできますので
V	はい
C	ちょっとご足労なんですけどお手元にご用意してもらって宜しいですか
V	はい
C	今、あります
V	あ、お手元にございます？郵便局さんとかお使いになっていませんか
C	大丈夫です
V	大丈夫ですか。はい、それではですね、今からお調べいたしますので、まずあの、お名前、ご本人様確認なんですけどもえっと口座開設当時のお名前、それは○○様でお代わりないですか
C	はい
V	はい。かしこまりました
