■離れている息子から（6分38秒）	;再現；警視庁
	
V	もしもし
C	あ、お父さん、俺、タケシだけど。
V	おう。タケシどうした何かお前声おかしくない
C	そう2，3日前からちょっと風邪気味だったからな
V	ふん
C	それよりさ、携帯電話落として買い換えたからその番号を教えとくから控えておいてよ
V	うん、わかったわかった。何番
C	えっとね、え、090－11ー22－33
V	11－22－33ね、わかったわかった
C	うん、じゃ、ちゃんと控えておいてよ
V	うん、わかったよ
	
	中断
	
V	もしもし
C	あ、お父さん、実は困ったことがあって
V	どうした
C	あの、副業で浄水器の販売の営業やっていたんだけど、ちょっと資金繰りに困ったとき、会社の金をかりちゃってたんだよ
V	うん
C	そしたら急に何か明日会社に監査が入ることになってこのままじゃ俺、横領で捕まっちゃいそうなんだよ
V	お前、会社の金使い込んだってことかそれ
C	うん
V	何やってんだよ、馬鹿が
C	そんなに怒らないでよ、でもほらこのままじゃ俺も会社クビになると思って思い切って上司に相談したら、上司がとりあえず穴埋めしてくれたたんだよ
V	うん
C	でもほらその上司に悪いからさ、お父さん立て替えてよ
V	で、いくらだよ
C	全部で120万円なんだけど
V	120万
C	でもほら、22万は自分で何とか工面できるから残りの98万円何とかしてよ。このお金必ずあとで返すからその98万を上司の口座に振込んでほしいんだけど。今なら何か上司が何とかしてくれそうだから。頼むから
V	どこに振込めばいいんだよ
C	それは今わかんない。まだ。上司に聞いてあとで教えるからお父さん、急いで銀行に行って
V	うん
C	お金を準備したらほら、銀行ATMあるでしょ
V	うん
C	そっから俺が昨日言った携帯の番号へ電話してくれるかな
V	あ、わかった。じゃすぐ銀行言ってくるよ
C	うん、ありがとう。助かったよ。じゃ急いでね
V	あ
	
	中断
	
V	もしもし
C	あ、お父さん、有難う助かったよ
V	おう
C	でも、もう1回だけ助けて欲しいんだよな
V	どうしたんだよ。まだ何かあるのか
C	うん、本当のこと言うと、あと198万円の使い込みあるんだよ
V	何
C	これは上司にも相談できなくて。でもほらこれさえ返したら会社クビになること無いからこのお金、絶対お父さん返すからこれ最後だから何とか立て替えてよ
V	何言ってんだ、タケシ。そんな金すぐに準備できる訳ないだろ。今振込んできたばっかじゃねぇか
C	そこを何とか頼むよ。お父さん。俺会社クビになりかどうかの瀬戸際なんだからさ。お金後で絶対返すから
V	しょうがね奴だな、お前も。ちゃんと真面目に働いて返すんだぞ。でどこに振込めばいいんだよ
C	うん、さっきと同じ銀行だと不審がられてやばいから別の銀行行って振込んでくれるかな
V	うん
C	さっきみたいに銀行のATMの前ついたらまたあの俺の携帯電話してよ。そのときほら俺、前取引で使っていた口座番号教えるからそこに振込んでくれるかな
V	うん、じゃもう1回銀行に行ってくるけど、お前もう大丈夫なんだろうな
C	いや、大丈夫。これさえちゃんとできたら大丈夫だから。ありがとう。じゃ急いでね
V	うん、わかったわかった。
	
